district_id,district_name,province_id
1,Taplejung,1
2,Panchthar,1
3,Ilam,1
4,Jhapa,1
5,Sankhuwasabha,1
6,Terhathum,1
7,Bhojpur,1
8,Dhankuta,1
9,Morang,1
10,Sunsari,1
11,Solukhumbu,1
12,Khotang,1
13,Okhaldhunga,1
14,Udayapur,1
15,Saptari,2
16,Siraha,2
17,Dolakha,3
18,Ramechhap,3
19,Sindhuli,3
20,Dhanusha,2
21,Mahottari,2
22,Sarlahi,2
23,Rasuwa,3
24,Dhading,3
25,Nuwakot,3
26,Kathmandu,3
27,Bhaktapur,3
28,Lalitpur,3
29,Kavrepalanchok,3
30,Sindhupalchok,3
31,Makwanpur,3
32,Rautahat,2
33,Bara,2
34,Parsa,2
35,Chitwan,3
36,Gorkha,4
37,Manang,4
38,Lamjung,4
39,Kaski,4
40,Tanahun,4
41,Syangja,4
42,Gulmi,5
43,Palpa,5
44,Arghakhanchi,5
45,Nawalparasi East,4
46,Rupandehi,5
47,Kapilvastu,5
48,Mustang,4
49,Myagdi,4
50,Baglung,4
51,Parbat,4
52,Rukum East,5
53,Rolpa,5
54,Pyuthan,5
55,Salyan,6
56,Dang,5
57,Dolpa,6
58,Mugu,6
59,Jumla,6
60,Kalikot,6
61,Humla,6
62,Jajarkot,6
63,Dailekh,6
64,Surkhet,6
65,Banke,5
66,Bardiya,5
67,Bajura,7
68,Achham,7
69,Bajhang,7
70,Doti,7
71,Kailali,7
72,Darchula,7
73,Baitadi,7
74,Dadeldhura,7
75,Kanchanpur,7
76,Nawalparasi West,5
77,Rukum West,6
