candidate_id,district_id,const_name,candidate_name,age,gender,party,votes
339300,4,Jhapa-5,Dharmraj Guragain,43,male,People First Party,34
339301,71,Kailali-5,Pyare Lal Rana,61,male,Independent,1755
339302,31,Makwanpur-1,Bidya Shrestha Maharjan,49,female,Shram Sanskriti Party,1024
339303,33,Bara-3,Chandra Prakash Suwedi,59,male,Independent,9
339304,35,Chitwan-3,Indra Maya Paudel,58,female,Independent,398
339305,46,Rupandehi-2,Thamman Bahadur Budha Magar,39,male,National Republic Nepal,219
339306,17,Dolakha-1,Bimala Shrestha,53,female,Nepal Majdoor Kisan Party,40
339308,75,Kanchanpur-1,Katak Bahadur Shahi,65,male,Nepal Majdoor Kisan Party,34
339309,46,Rupandehi-2,Roshina Byanju,48,female,Nepal Majdoor Kisan Party,22
339310,36,Gorkha-2,Chuda Prasad Dhakal,63,male,Independent,80
339311,7,Bhojpur-1,Raja Ram Bashi,47,male,Nepal Majdoor Kisan Party,66
339312,1,Taplejung-1,Sant Bahadur Limbu,57,male,Mongol National Organisation,50
339313,4,Jhapa-2,Chandra Kumari Garu,50,female,Nepal Majdoor Kisan Party,20
339314,71,Kailali-4,Mohan Dev Mishra,44,male,CPN (United),30
339315,34,Parsa-2,Amitabhav Bacchan Das Tatma,43,male,Pragatishil Loktantrik Party,330
339316,10,Sunsari-3,Prakriti Basi,38,female,Nepal Majdoor Kisan Party,17
339317,76,Nawalparasi West-1,Indra Kumar Gurung,48,male,Mongol National Organisation,39
339318,26,Kathmandu-4,Shyam Kumar Bhattaaarai Khatri,70,male,Nepalka Lagi Nepali Party,18
339319,46,Rupandehi-2,Chandra Kumari Gurung,46,female,Mongol National Organisation,49
339320,75,Kanchanpur-3,Meenu Giri,64,male,Nepal Majdoor Kisan Party,42
339321,29,Kavrepalanchok-2,Muna Tamang,37,female,Nepal Majdoor Kisan Party,428
339322,43,Palpa-2,Thakur Prasad Gaire,57,male,CPN (Unified Marxist-Leninist),10503
339323,15,Saptari-4,Rubi Kumari Karn,44,female,Communist Party of Nepal,1709
339324,8,Dhankuta-1,Uttam Sakakarmi,40,male,Nepal Majdoor Kisan Party,22
339325,17,Dolakha-1,Suman Thapa,48,male,Independent,5
339326,19,Sindhuli-1,Rajendra Bakhunche,54,male,Nepal Majdoor Kisan Party,29
339327,19,Sindhuli-2,Shanta Bir Lama,43,male,Mongol National Organisation,432
339328,35,Chitwan-2,Shobha Basukala,36,female,Nepal Majdoor Kisan Party,32
339329,26,Kathmandu-8,Shiva Sundar Karmacharya,41,male,Shram Sanskriti Party,281
339331,25,Nuwakot-2,Renchen Tamang,34,male,Mongol National Organisation,426
339332,26,Kathmandu-10,Ambar Bahadur Paudel,62,male,Rastriya Janamorcha,36
339333,76,Nawalparasi West-1,Hridayesh Tripathi,66,male,"Janata Samajwadi Party, Nepal",7832
339334,10,Sunsari-1,Mahesh Shrestha,58,male,Nepal Majdoor Kisan Party,63
339335,63,Dailekh-1,Nar Bahadur Singh,42,male,Rastriya Janamorcha,91
339336,65,Banke-3,Bhumi Mahtara,40,female,Nepal Majdoor Kisan Party,42
339337,34,Parsa-2,Mukesh Kushwaha,42,male,Nepal Majdoor Kisan Party,6
339338,31,Makwanpur-2,Yunesh Lama Sintan,34,male,Shram Sanskriti Party,932
339339,46,Rupandehi-1,Shiva Bahadur Gurung,60,male,Mongol National Organisation,402
339340,46,Rupandehi-5,Basanta Kumar Yadav,25,male,Independent,10
339341,17,Dolakha-1,Kumar Tamang,39,male,Mongol National Organisation,103
339342,26,Kathmandu-4,Aasha Lal Shrestha,58,male,Nepal Majdoor Kisan Party,56
339343,29,Kavrepalanchok-1,Raju Tamang,26,male,Nepal Majdoor Kisan Party,52
339344,71,Kailali-4,Chhatra Bahadur Bhatt Khatri,53,male,Independent,241
339345,34,Parsa-3,Saroj Kumar Sah,42,male,Nepal Majdoor Kisan Party,16
339346,15,Saptari-1,Satya Jit Kumar Jha,45,male,Rastriya Prajatantra Party,422
339347,74,Dadeldhura-1,Tirth Raj Upreti,71,male,Independent,107
339348,9,Morang-4,Jayram Tharu,43,male,Nepal Majdoor Kisan Party,29
339349,19,Sindhuli-2,Rameshowri Koju,40,female,Nepal Majdoor Kisan Party,33
339350,36,Gorkha-1,Manu Kumari Shrestha,56,female,Nepal Majdoor Kisan Party,19
339351,9,Morang-1,Yam Prasad Dahal,60,male,Independent,39
339352,17,Dolakha-1,Prakash Dahal,38,male,Independent,12
339353,21,Mahottari-1,Maniraj Niraula,52,male,CPN (United),54
339354,31,Makwanpur-1,Rakesh Kumar Sharma,55,male,Independent,5
